Day,Number of Bicycle Hires,Month,Number of Bicycle Hires.1,Year,Number of Bicycle Hires.2,Month.1,Average Hire Time (mins)
2012-02-16,19505,,,,,,
2012-02-17,19444,,,,,,
2012-02-18,9463,,,,,,
2012-02-19,12655,,,,,,
2012-02-20,18802,,,,,,
2012-02-21,20861,,,,,,
2012-02-22,18112,,,,,,
2012-02-23,23391,,,,,,
2012-02-24,22067,,,,,,
2012-02-25,19349,,,,,,
2012-02-26,17646,,,,,,
2012-02-27,20936,,,,,,
2012-02-28,23423,,,,,,
2012-02-29,23692,,,,,,
2012-03-01,25116,,,,,,
2012-03-02,21928,,,,,,
2012-03-03,17697,,,,,,
2012-03-04,5062,,,,,,
2012-03-05,19342,,,,,,
2012-03-06,21102,,,,,,
2012-03-07,17096,,,,,,
2012-03-08,24123,,,,,,
2012-03-09,23609,,,,,,
2012-03-10,24721,,,,,,
2012-03-11,27758,,,,,,
2012-03-12,28856,,,,,,
2012-03-13,27528,,,,,,
2012-03-14,28296,,,,,,
2012-03-15,29969,,,,,,
2012-03-16,26452,,,,,,
2012-03-17,13391,,,,,,
2012-03-18,19184,,,,,,
2012-03-19,28391,,,,,,
2012-03-20,30817,,,,,,
2012-03-21,31175,,,,,,
2012-03-22,31135,,,,,,
2012-03-23,33635,,,,,,
2012-03-24,35091,,,,,,
2012-03-25,28607,,,,,,
2012-03-26,32368,,,,,,
2012-03-27,34563,,,,,,
2012-03-28,36539,,,,,,
2012-03-29,35954,,,,,,
2012-03-30,35666,,,,,,
2012-03-31,23038,,,,,,
2012-04-01,30513,,,,,,
2012-04-02,32142,,,,,,
2012-04-03,25956,,,,,,
2012-04-04,27912,,,,,,
2012-04-05,24383,,,,,,
2012-04-06,22354,,,,,,
2012-04-07,16848,,,,,,
2012-04-08,15717,,,,,,
2012-04-09,6214,,,,,,
2012-04-10,24898,,,,,,
2012-04-11,29345,,,,,,
2012-04-12,25772,,,,,,
2012-04-13,27673,,,,,,
2012-04-14,26193,,,,,,
2012-04-15,10188,,,,,,
2012-04-16,28188,,,,,,
2012-04-17,20105,,,,,,
2012-04-18,16651,,,,,,
2012-04-19,18759,,,,,,
2012-04-20,22730,,,,,,
2012-04-21,22014,,,,,,
2012-04-22,19707,,,,,,
2012-04-23,19262,,,,,,
2012-04-24,27522,,,,,,
2012-04-25,12737,,,,,,
2012-04-26,21740,,,,,,
2012-04-27,24263,,,,,,
2012-04-28,7827,,,,,,
2012-04-29,9951,,,,,,
2012-04-30,31909,,,,,,
2012-05-01,24523,,,,,,
2012-05-02,28381,,,,,,
2012-05-03,23768,,,,,,
2012-05-04,25503,,,,,,
2012-05-05,16009,,,,,,
2012-05-06,17160,,,,,,
2012-05-07,15227,,,,,,
2012-05-08,28585,,,,,,
2012-05-09,21758,,,,,,
2012-05-10,26164,,,,,,
2012-05-11,31385,,,,,,
2012-05-12,30699,,,,,,
2012-05-13,28778,,,,,,
2012-05-14,23344,,,,,,
2012-05-15,18409,,,,,,
2012-05-16,31453,,,,,,
2012-05-17,31219,,,,,,
2012-05-18,30945,,,,,,
2012-05-19,28474,,,,,,
2012-05-20,22286,,,,,,
2012-05-21,30905,,,,,,
2012-05-22,36720,,,,,,
2012-05-23,40486,,,,,,
2012-05-24,42008,,,,,,
2012-05-25,41357,,,,,,
2012-05-26,39358,,,,,,
2012-05-27,38781,,,,,,
2012-05-28,40872,,,,,,
2012-05-29,37962,,,,,,
2012-05-30,38803,,,,,,
2012-05-31,35630,,,,,,
2012-06-01,34524,,,,,,
2012-06-02,25283,,,,,,
2012-06-03,12207,,,,,,
2012-06-04,22649,,,,,,
2012-06-05,15537,,,,,,
2012-06-06,30297,,,,,,
2012-06-07,23066,,,,,,
2012-06-08,22224,,,,,,
2012-06-09,29258,,,,,,
2012-06-10,20876,,,,,,
2012-06-11,10252,,,,,,
2012-06-12,23742,,,,,,
2012-06-13,34447,,,,,,
2012-06-14,31593,,,,,,
2012-06-15,30944,,,,,,
2012-06-16,26300,,,,,,
2012-06-17,28531,,,,,,
2012-06-18,31089,,,,,,
2012-06-19,37601,,,,,,
2012-06-20,39267,,,,,,
2012-06-21,27052,,,,,,
2012-06-22,33027,,,,,,
2012-06-23,26900,,,,,,
2012-06-24,23509,,,,,,
2012-06-25,36337,,,,,,
2012-06-26,37652,,,,,,
2012-06-27,36767,,,,,,
2012-06-28,39571,,,,,,
2012-06-29,35321,,,,,,
2012-06-30,32982,,,,,,
2012-07-01,27438,,,,,,
2012-07-02,24963,,,,,,
2012-07-03,27163,,,,,,
2012-07-04,32433,,,,,,
2012-07-05,40565,,,,,,
2012-07-06,24723,,,,,,
2012-07-07,24782,,,,,,
2012-07-08,15855,,,,,,
2012-07-09,30523,,,,,,
2012-07-10,29723,,,,,,
2012-07-11,30544,,,,,,
2012-07-12,24736,,,,,,
2012-07-13,28875,,,,,,
2012-07-14,17999,,,,,,
2012-07-15,29938,,,,,,
2012-07-16,24218,,,,,,
2012-07-17,36788,,,,,,
2012-07-18,29841,,,,,,
2012-07-19,37032,,,,,,
2012-07-20,31187,,,,,,
2012-07-21,34776,,,,,,
2012-07-22,38620,,,,,,
2012-07-23,42309,,,,,,
2012-07-24,45748,,,,,,
2012-07-25,45024,,,,,,
2012-07-26,46891,,,,,,
2012-07-27,42815,,,,,,
2012-07-28,44617,,,,,,
2012-07-29,26352,,,,,,
2012-07-30,41891,,,,,,
2012-07-31,35805,,,,,,
2012-08-01,41603,,,,,,
2012-08-02,43183,,,,,,
2012-08-03,43045,,,,,,
2012-08-04,39082,,,,,,
2012-08-05,30150,,,,,,
2012-08-06,37198,,,,,,
2012-08-07,38134,,,,,,
2012-08-08,42263,,,,,,
2012-08-09,46050,,,,,,
2012-08-10,47102,,,,,,
2012-08-11,44111,,,,,,
2012-08-12,41734,,,,,,
2012-08-13,36101,,,,,,
2012-08-14,41532,,,,,,
2012-08-15,36557,,,,,,
2012-08-16,38181,,,,,,
2012-08-17,40821,,,,,,
2012-08-18,40577,,,,,,
2012-08-19,35370,,,,,,
2012-08-20,37997,,,,,,
2012-08-21,39185,,,,,,
2012-08-22,39962,,,,,,
2012-08-23,36578,,,,,,
2012-08-24,33329,,,,,,
2012-08-25,17802,,,,,,
2012-08-26,31939,,,,,,
2012-08-27,27522,,,,,,
2012-08-28,37362,,,,,,
2012-08-29,30916,,,,,,
2012-08-30,30379,,,,,,
2012-08-31,37406,,,,,,
2012-09-01,33123,,,,,,
2012-09-02,27997,,,,,,
2012-09-03,39941,,,,,,
2012-09-04,40298,,,,,,
2012-09-05,40606,,,,,,
2012-09-06,39864,,,,,,
2012-09-07,41414,,,,,,
2012-09-08,40978,,,,,,
2012-09-09,39006,,,,,,
2012-09-10,35489,,,,,,
2012-09-11,37276,,,,,,
2012-09-12,35654,,,,,,
2012-09-13,37938,,,,,,
2012-09-14,36653,,,,,,
2012-09-15,36493,,,,,,
2012-09-16,29785,,,,,,
2012-09-17,35954,,,,,,
2012-09-18,37026,,,,,,
2012-09-19,36136,,,,,,
2012-09-20,35929,,,,,,
2012-09-21,32347,,,,,,
2012-09-22,33867,,,,,,
2012-09-23,8452,,,,,,
2012-09-24,21229,,,,,,
2012-09-25,33706,,,,,,
2012-09-26,27202,,,,,,
2012-09-27,32416,,,,,,
2012-09-28,31880,,,,,,
2012-09-29,31223,,,,,,
2012-09-30,25263,,,,,,
2012-10-01,23627,,,,,,
2012-10-02,30107,,,,,,
2012-10-03,32695,,,,,,
2012-10-04,35136,,,,,,
2012-10-05,23773,,,,,,
2012-10-06,30424,,,,,,
2012-10-07,27168,,,,,,
2012-10-08,22984,,,,,,
2012-10-09,32965,,,,,,
2012-10-10,35221,,,,,,
2012-10-11,25324,,,,,,
2012-10-12,31694,,,,,,
2012-10-13,26289,,,,,,
2012-10-14,25440,,,,,,
2012-10-15,30558,,,,,,
2012-10-16,33253,,,,,,
2012-10-17,30285,,,,,,
2012-10-18,32566,,,,,,
2012-10-19,21001,,,,,,
2012-10-20,25411,,,,,,
2012-10-21,15563,,,,,,
2012-10-22,27294,,,,,,
2012-10-23,31996,,,,,,
2012-10-24,33882,,,,,,
2012-10-25,29515,,,,,,
2012-10-26,26404,,,,,,
2012-10-27,17144,,,,,,
2012-10-28,15305,,,,,,
2012-10-29,24276,,,,,,
2012-10-30,30325,,,,,,
2012-10-31,29241,,,,,,
2012-11-01,26888,,,,,,
2012-11-02,28748,,,,,,
2012-11-03,21498,,,,,,
2012-11-04,11693,,,,,,
2012-11-05,27666,,,,,,
2012-11-06,27038,,,,,,
2012-11-07,29537,,,,,,
2012-11-08,29895,,,,,,
2012-11-09,29349,,,,,,
2012-11-10,18018,,,,,,
2012-11-11,20971,,,,,,
2012-11-12,23680,,,,,,
2012-11-13,30511,,,,,,
2012-11-14,31453,,,,,,
2012-11-15,30165,,,,,,
2012-11-16,28143,,,,,,
2012-11-17,20325,,,,,,
2012-11-18,21664,,,,,,
2012-11-19,28127,,,,,,
2012-11-20,25921,,,,,,
2012-11-21,20554,,,,,,
2012-11-22,27783,,,,,,
2012-11-23,27973,,,,,,
2012-11-24,8902,,,,,,
2012-11-25,16894,,,,,,
2012-11-26,20656,,,,,,
2012-11-27,20388,,,,,,
2012-11-28,21403,,,,,,
2012-11-29,26212,,,,,,
2012-11-30,24838,,,,,,
2012-12-01,16068,,,,,,
2012-12-02,15227,,,,,,
2012-12-03,23592,,,,,,
2012-12-04,26144,,,,,,
2012-12-05,23111,,,,,,
2012-12-06,22645,,,,,,
2012-12-07,20140,,,,,,
2012-12-08,17805,,,,,,
2012-12-09,14147,,,,,,
2012-12-10,23937,,,,,,
2012-12-11,23531,,,,,,
2012-12-12,22344,,,,,,
2012-12-13,21704,,,,,,
2012-12-14,17085,,,,,,
2012-12-15,16962,,,,,,
2012-12-16,14128,,,,,,
2012-12-17,22899,,,,,,
2012-12-18,23651,,,,,,
2012-12-19,16828,,,,,,
2012-12-20,12401,,,,,,
2012-12-21,20395,,,,,,
2012-12-22,5644,,,,,,
2012-12-23,9184,,,,,,
2012-12-24,7985,,,,,,
2012-12-25,16816,,,,,,
2012-12-26,10405,,,,,,
2012-12-27,9013,,,,,,
2012-12-28,10947,,,,,,
2012-12-29,8498,,,,,,
2012-12-30,11343,,,,,,
2012-12-31,8865,,,,,,
2013-01-01,12149,,,,,,
2013-01-02,16203,,,,,,
2013-01-03,21269,,,,,,
2013-01-04,22435,,,,,,
2013-01-05,16242,,,,,,
2013-01-06,13622,,,,,,
2013-01-07,23348,,,,,,
2013-01-08,25909,,,,,,
2013-01-09,25341,,,,,,
2013-01-10,24363,,,,,,
2013-01-11,23869,,,,,,
2013-01-12,13562,,,,,,
2013-01-13,12260,,,,,,
2013-01-14,17427,,,,,,
2013-01-15,22797,,,,,,
2013-01-16,22460,,,,,,
2013-01-17,22210,,,,,,
2013-01-18,13108,,,,,,
2013-01-19,7843,,,,,,
2013-01-20,3728,,,,,,
2013-01-21,13467,,,,,,
2013-01-22,18061,,,,,,
2013-01-23,19404,,,,,,
2013-01-24,20721,,,,,,
2013-01-25,20178,,,,,,
2013-01-26,14595,,,,,,
2013-01-27,13689,,,,,,
2013-01-28,18689,,,,,,
2013-01-29,21268,,,,,,
2013-01-30,23415,,,,,,
2013-01-31,21957,,,,,,
2013-02-01,18081,,,,,,
2013-02-02,15757,,,,,,
